time	concentration	volume
0	3.023798609	0
30	3.114830065	13.2522
60	3.193132997	22.8151
90	3.344098032	35.4172
120	3.545952177	48.2249
150	3.71131258	63.3103
180	3.880179942	73.558
210	4.051567078	86.1327
240	4.145738602	96.7225
270	4.204649925	107.9742
300	4.310641861	118.6576
330	4.373957515	128.7267
360	4.449874592	140.6426
390	4.523475265	152.4861
420	4.557658434	162.8935
450	4.621247387	174.1857
480	4.665646744	185.7268
510	4.688958049	197.1192
540	4.724696445	209.5242
570	4.763434982	221.4678
600	4.777761936	232.2868
630	4.817210579	247.6275
660	4.840685558	259.4228
690	4.846937061	270.9724
720	4.861563492	281.8857
750	4.862069321	293.4212
780	4.865633011	304.6134
810	4.883685875	315.6425
840	4.888158989	326.8809
870	4.893807769	338.671
900	4.89773283	348.127
930	4.902150154	363.4559
960	4.908982992	374.8323
990	4.91435442	385.8517
1020	4.919867516	396.7044
1050	4.916160679	408.1897
1080	4.928572059	420.0901
1110	4.917313385	427.0895
1140	4.922553825	437.5906
1170	4.919561267	448.138
1200	4.92966497	459.2603
1230	4.934463024	469.2068
1260	4.935445404	480.2171
1290	4.937192059	491.9888
1320	4.930878401	502.4742
1350	4.932299042	513.0803
1380	4.933749437	524.2078
1410	4.929975319	535.2854
1440	4.935555362	545.8359
1470	4.937137485	555.0863
1500	4.940053844	564.3464
