time	concentration	volume
0	3.6456	59.37984496
30	3.9850	130.6007752
60	4.5309	269.622093
90	4.6474	329.9418605
120	4.6944	389.244186
150	4.7851	453.2945736
180	4.8394	522.1899225
210	4.8422	584.3992248
240	4.8824	655.9108527
270	4.9004	725.6782946
300	4.9089	796.8023256
330	4.9279	862.1124031
360	4.9331	923.8372093
390	4.9289	978.2945736
420	4.9346	1047.383721
450	4.9339	1070.943217
480	4.9269	1084.739147
510	4.9266	1101.192636
540	4.9201	1115.750581
570	4.9251	1145.927713
630	4.9310	1158.566279
660	4.9272	1171.644089
690	4.9237	1187.812791
720	4.9210	1200.094477
750	4.9320	1220.695349
780	4.9310	1274.377519
810	4.9346	1302.255426
840	4.9450	1354.716667
870	4.9440	1377.168217
900	4.9508	1432.875581
930	4.9509	1498.728295
960	4.9570	1533.834884
990	4.9540	1597.730233
1020	4.9530	1654.057752
1050	4.9527	1711.974419
1080	4.9519	1748.418217
1110	4.9530	1808.631395
1170	4.9538	1869.871705
1200	4.9581	1934.077132
1230	4.9589	1991.082946
1260	4.9636	2057.381395
1290	4.9634	2114.484109
1320	4.9658	2173.767054
1350	4.9666	2233.214729
1380	4.9691	2293.00155
1440	4.9746	2351.344574
1470	4.9650	2417.99186
1500	4.9668	2477.768992
